Name,State,Notes,User,Tags,Created,Runtime,Sweep,ae_input_days,batch_size,checkpoint,cnn_batchnorm,dataset,epochs,latent_dimension,learning_rate,learning_rate_style,loss,model,noise,noise_pct,optimiser,optimiser_hyperparams,weight_decay,best_val_loss,epoch,train_loss,val_loss,cr
icy-microwave-185,finished,-,syip0005,,2022-10-05T18:04:31.000Z,992,,12,512,./model_param/state_6595608.pt,true,CERN3,1000,72,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.009767883457243,1000,0.005877906249629,0.012894694693387,8
honest-plant-184,finished,-,syip0005,,2022-10-05T17:54:29.000Z,597,,12,512,./model_param/state_1327690.pt,true,CERN3,1000,82,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.014711908996105,1000,0.01381768948502,0.014831112697721,7.02439024390244
helpful-cloud-183,finished,-,syip0005,,2022-10-05T17:37:14.000Z,1030,,12,512,./model_param/state_3597245.pt,true,CERN3,1000,82,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.008820516057312,1000,0.00539134732551,0.011780780740082,7.02439024390244
gallant-serenity-182,finished,-,syip0005,,2022-10-05T17:20:14.000Z,1015,,12,512,./model_param/state_2274981.pt,true,CERN3,1000,82,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.009212253149599,1000,0.00530431984872,0.012224865611643,7.02439024390244
fancy-shadow-181,finished,-,syip0005,,2022-10-05T17:10:12.000Z,597,,12,512,./model_param/state_7899915.pt,true,CERN3,1000,96,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.014915015548468,1000,0.013682793567164,0.014987837057561,6
bright-valley-180,finished,-,syip0005,,2022-10-05T16:52:55.000Z,1032,,12,512,./model_param/state_8507340.pt,true,CERN3,1000,96,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.008061098400503,1000,0.004751065332029,0.010926416143775,6
firm-pyramid-179,finished,-,syip0005,,2022-10-05T16:36:15.000Z,995,,12,512,./model_param/state_5278753.pt,true,CERN3,1000,96,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.008783089928329,1000,0.004772747905614,0.011498699896038,6
true-flower-178,finished,-,syip0005,,2022-10-05T16:26:15.000Z,595,,12,512,./model_param/state_1074295.pt,true,CERN3,1000,144,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.01462023332715,1000,0.013466379708714,0.014713607728481,4
toasty-sea-177,finished,-,syip0005,,2022-10-05T16:08:57.000Z,1033,,12,512,./model_param/state_7500893.pt,true,CERN3,1000,144,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.006572241894901,1000,0.003137326204321,0.008964510634542,4
super-eon-176,finished,-,syip0005,,2022-10-05T15:52:23.000Z,989,,12,512,./model_param/state_7509140.pt,true,CERN3,1000,144,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.007564509985968,1000,0.003097211541091,0.009627862367779,4
iconic-meadow-175,finished,-,syip0005,,2022-10-05T15:42:28.000Z,590,,12,512,./model_param/state_2544177.pt,true,CERN3,1000,192,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.014488671440631,1000,0.013252079900768,0.014527372084558,3
pleasant-hill-174,finished,-,syip0005,,2022-10-05T15:25:13.000Z,1030,,12,512,./model_param/state_4915048.pt,true,CERN3,1000,192,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.005463872570544,1000,0.002034800709225,0.007293827598915,3
light-snowflake-173,finished,-,syip0005,,2022-10-05T15:08:21.000Z,1007,,12,512,./model_param/state_3394318.pt,true,CERN3,1000,192,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.00696132844314,1000,0.002402680680259,0.008087226655334,3
zany-spaceship-172,finished,-,syip0005,,2022-10-05T14:58:22.000Z,594,,12,512,./model_param/state_1421918.pt,true,CERN3,1000,288,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.015374658163637,1000,0.013607800989929,0.015532581135631,2
astral-frog-171,finished,-,syip0005,,2022-10-05T14:40:54.000Z,1043,,12,512,./model_param/state_1833516.pt,true,CERN3,1000,288,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.005160334752873,1000,0.001375931373332,0.005810478469357,2
apricot-snow-170,finished,-,syip0005,,2022-10-05T14:23:25.000Z,1043,,12,512,./model_param/state_5543230.pt,true,CERN3,1000,288,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.006487500388175,1000,0.001671445213207,0.006707907421514,2
smooth-surf-169,finished,-,syip0005,,2022-10-05T14:13:32.000Z,588,,12,512,./model_param/state_6914401.pt,true,CERN3,1000,576,0.001,constant,MSE,AE,none,0.1,Adam,default,1E-10,0.015288637485355,1000,0.013903435940544,0.01567106647417,1
super-plasma-168,finished,-,syip0005,,2022-10-05T13:56:05.000Z,1041,,12,512,./model_param/state_2372899.pt,true,CERN3,1000,576,0.001,constant,MSE,HAE,none,0.1,Adam,default,1E-10,0.005091491853818,1000,0.00158932602628,0.005141097353771,1
fresh-fire-167,finished,-,syip0005,,2022-10-05T13:38:45.000Z,1035,,12,512,./model_param/state_4178297.pt,true,CERN3,1000,576,0.001,constant,MSE,SCSAE,none,0.1,Adam,default,1E-10,0.006474618101493,1000,0.001404913310479,0.006688858615235,1
